rank,country,sales_2024_units,yoy_2024_vs_2023_pct
1,China,31436193,4.46105028368398
2,United States,16340472,2.0688266321733138
3,India,5226784,2.882137706355907
4,Japan,4421494,-7.482434925841469
5,Germany,3192031,-0.382829562044479
6,Brazil,2634904,14.129880637885831
7,United Kingdom,2368574,2.6495186436211937
8,France,2155052,-2.420148326851561
9,Canada,1906866,8.207063972062798
10,Russia,1833852,39.19835316728377
11,Italy,1793038,-0.27469761849011415
12,South Korea,1632751,-6.6854924391148565
13,Mexico,1555115,9.791242624939196
14,Turkey,1285789,0.13574280049157117
15,Australia,1222785,0.3557798842792072
16,Spain,1219241,8.100912070773926
17,Indonesia,865723,-13.927094994839939
18,Malaysia,816747,2.1162235050092457
19,Saudi Arabia,805034,6.094300011465608
20,Thailand,572675,-26.18074711902859
21,Netherlands,530567,16.49189599827864
22,Belgium,524180,-5.555365369820167
23,South Africa,515853,-2.9543397979896793
24,Philippines,468895,12.109054654045796
25,Taiwan,444998,2.5341013824884793
26,Argentina,411406,1.0974590848773775
27,Sweden,314485,-8.000936124153466
28,Israel,307410,-0.3271523479422474
29,United Arab Emirates,306279,18.191009458244416
30,Chile,296463,-3.7988772430801183
31,Austria,295852,6.031022421010379
32,Switzerland,275836,-4.204318925339131
33,Czech Republic,263861,3.2150429115716506
34,Portugal,249250,5.594272278590947
35,Denmark,206493,1.2955477503286699
36,Kazakhstan,200186,0.7184616468267944
37,Colombia,186757,10.469188089294798
38,Romania,179758,6.107005406936935
39,Morocco,176401,9.223920150584505
40,Norway,164141,0.06462035541195477
41,Ireland,155422,0.7611119755199419
42,Hungary,152090,12.121078084453881
43,Greece,148701,2.2210765106207466
44,Peru,146760,-11.133179126348807
45,New Zealand,128930,-13.305136601733494
46,Kuwait,128318,-0.8729373957110191
47,Puerto Rico,126991,6.975823435262404
48,Pakistan,125050,52.09564815490525
49,Slovakia,106134,4.214371281003908
50,Egypt,96862,12.572637255357725
