Region,PEV_stock_23,Annual_sales_23,Market_share_23,Share_of_cars_in_use_23,%_ev_sales_global,Market_share_25
China,21800000,8095078,0.37,0.076,0.5865998550724638,0.54
Europe,11200000,3016880,0.24,0.038,0.21861449275362319,0.268
United States,4800000,1390000,0.095,0.021,0.10072463768115943,0.135
Germany,2500000,699943,0.24600000000000002,0.054000000000000006,0.05072050724637681,0.3
California,1775915,440616,0.248,0.0385,0.03192869565217391,0.291
United Kingdom,1580000,450000,0.24,0.05,0.03260869565217391,0.339
France,1570000,470000,0.25,0.040999999999999995,0.034057971014492754,0.267
Norway,900000,110000,0.93,0.29,0.007971014492753623,0.974
Netherlands,700000,210000,0.35,0.083,0.015217391304347827,0.565
Sweden,560000,171000,0.6,0.11,0.012391304347826086,0.632
South Korea,553000,136300,0.079,0.024,0.009876811594202898,0.1
Canada,550000,171000,0.13,0.023,0.012391304347826086,0.104
Japan,540000,140000,0.036000000000000004,0.008,0.010144927536231883,0.02
Global total,40000000,13800000,0.18,0.032,1.0,0.25
