Year,Metric,Country,Value
2010,Production,Thailand,11775384
2010,Production,Russia,9625474
2010,Production,Spain,5349215
2010,Production,Indonesia,3592249
2010,Production,Argentina,2262069
2010,Production,Turkey,3628000
2010,Production,Czech_Republic,2212645
2010,Production,Poland,3017466
2010,Production,Belgium,1229861
2010,Production,Australia,2564311
2010,Production,South_Africa,3590985
2010,Production,Malaysia,2773617
2010,Production,World,1225698
2011,Production,Thailand,1414016
2011,Production,Russia,632559
2011,Production,Spain,706994
2011,Production,Indonesia,354264
2011,Production,Argentina,480371
2011,Production,Turkey,82269
2011,Production,Czech_Republic,656158
2011,Production,Poland,548105
2011,Production,Belgium,244221
2011,Production,Australia,447574
2011,Production,South_Africa,694592
2011,Production,Malaysia,393523
2011,Production,World,1633614
2012,Production,Thailand,727752
2012,Production,Russia,1006553
2012,Production,Spain,477878
2012,Production,Indonesia,1108089
2012,Production,Argentina,1362342
2012,Production,Turkey,992467
2012,Production,Czech_Republic,332859
2012,Production,Poland,443059
2012,Production,Belgium,364564
2012,Production,Australia,486051
2012,Production,South_Africa,501933
2012,Production,Malaysia,232180
2012,Production,World,478834
2013,Production,Thailand,1523594
2013,Production,Russia,1214250
2013,Production,Spain,5349215
2013,Production,Indonesia,937279
2013,Production,Argentina,1012970
2013,Production,Turkey,881216
2013,Production,Czech_Republic,498891
2013,Production,Poland,418269
2013,Production,Belgium,364564
2013,Production,Australia,486051
2013,Production,South_Africa,501933
2013,Production,Malaysia,232180
2013,Production,World,478834
2014,Production,Thailand,727752
2014,Production,Russia,1006553
2014,Production,Spain,477878
2014,Production,Indonesia,1108089
2014,Production,Argentina,1362342
2014,Production,Turkey,992467
2014,Production,Czech_Republic,332859
2014,Production,Poland,443059
2014,Production,Belgium,364564
2014,Production,Australia,486051
2014,Production,South_Africa,501933
2014,Production,Malaysia,232180
2014,Production,World,478834
2015,Production,Thailand,1352740
2015,Production,Russia,862254
2015,Production,Spain,634753
2015,Production,Indonesia,692079
2015,Production,Argentina,1012970
2015,Production,Turkey,881216
2015,Production,Czech_Republic,498891
2015,Production,Poland,418269
2015,Production,Belgium,364564
2015,Production,Australia,486051
2015,Production,South_Africa,501933
2015,Production,Malaysia,232180
2015,Production,World,478834
2016,Production,Thailand,1292243
2016,Production,Russia,1033453
2016,Production,Spain,514163
2016,Production,Indonesia,1108089
2016,Production,Argentina,1362342
2016,Production,Turkey,992467
2016,Production,Czech_Republic,332859
2016,Production,Poland,443059
2016,Production,Belgium,364564
2016,Production,Australia,486051
2016,Production,South_Africa,501933
2016,Production,Malaysia,232180
2016,Production,World,478834
2017,Production,Thailand,1352740
2017,Production,Russia,1225308
2017,Production,Spain,982642
2017,Production,Indonesia,1108089
2017,Production,Argentina,1362342
2017,Production,Turkey,992467
2017,Production,Czech_Republic,332859
2017,Production,Poland,443059
2017,Production,Belgium,364564
2017,Production,Australia,486051
2017,Production,South_Africa,501933
2017,Production,Malaysia,232180
2017,Production,World,478834
2018,Production,Thailand,1563572
2018,Production,Russia,1006553
2018,Production,Spain,5349215
2018,Production,Indonesia,937279
2018,Production,Argentina,1012970
2018,Production,Turkey,881216
2018,Production,Czech_Republic,498891
2018,Production,Poland,418269
2018,Production,Belgium,364564
2018,Production,Australia,486051
2018,Production,South_Africa,501933
2018,Production,Malaysia,232180
2018,Production,World,478834
2019,Production,Thailand,1523594
2019,Production,Russia,1090703
2019,Production,Spain,996491
2019,Production,Indonesia,1108089
2019,Production,Argentina,1362342
2019,Production,Turkey,992467
2019,Production,Czech_Republic,332859
2019,Production,Poland,443059
2019,Production,Belgium,364564
2019,Production,Australia,486051
2019,Production,South_Africa,501933
2019,Production,Malaysia,232180
2019,Production,World,478834
2020,Production,Thailand,1414016
2020,Production,Russia,632559
2020,Production,Spain,706994
2020,Production,Indonesia,354264
2020,Production,Argentina,480371
2020,Production,Turkey,82269
2020,Production,Czech_Republic,656158
2020,Production,Poland,548105
2020,Production,Belgium,244221
2020,Production,Australia,447574
2020,Production,South_Africa,694592
2020,Production,Malaysia,393523
2020,Production,World,1633614
2021,Production,Thailand,1352740
2021,Production,Russia,862254
2021,Production,Spain,634753
2021,Production,Indonesia,692079
2021,Production,Argentina,1012970
2021,Production,Turkey,881216
2021,Production,Czech_Republic,498891
2021,Production,Poland,418269
2021,Production,Belgium,364564
2021,Production,Australia,486051
2021,Production,South_Africa,501933
2021,Production,Malaysia,232180
2021,Production,World,478834
2022,Production,Thailand,727752
2022,Production,Russia,1006553
2022,Production,Spain,477878
2022,Production,Indonesia,1108089
2022,Production,Argentina,1362342
2022,Production,Turkey,992467
2022,Production,Czech_Republic,332859
2022,Production,Poland,443059
2022,Production,Belgium,364564
2022,Production,Australia,486051
2022,Production,South_Africa,501933
2022,Production,Malaysia,232180
2022,Production,World,478834
2023,Production,Thailand,1035273
2023,Production,Russia,1308368
2023,Production,Spain,687730
2023,Production,Indonesia,1108089
2023,Production,Argentina,1362342
2023,Production,Turkey,992467
2023,Production,Czech_Republic,332859
2023,Production,Poland,443059
2023,Production,Belgium,364564
2023,Production,Australia,486051
2023,Production,South_Africa,501933
2023,Production,Malaysia,232180
2023,Production,World,478834
2024,Production,Thailand,1035273
2024,Production,Russia,1308368
2024,Production,Spain,687730
2024,Production,Indonesia,1108089
2024,Production,Argentina,1362342
2024,Production,Turkey,992467
2024,Production,Czech_Republic,332859
2024,Production,Poland,443059
2024,Production,Belgium,364564
2024,Production,Australia,486051
2024,Production,South_Africa,501933
2024,Production,Malaysia,232180
2024,Production,World,478834
