Year,Country,Global_Total_Vehicles_Sold,Global_Total_EVs_Sold
2010,World,71894752,12500
2011,World,75495955,52500
2012,World,77039708,125000
2013,World,80385420,210000
2014,World,82154478,338000
2015,World,83928410,500000
2016,World,85699438,765000
2017,World,86795685,1200000
2018,World,87664754,2100000
2019,World,87698452,2140000
2020,World,71629723,3000000
2021,World,76661259,6600000
2022,World,76412390,10200000
2023,World,82690235,13800000
2024,World,87653490,17000000
2025,World,91700000,20000000
