Country,2025,2024[2],2023[3],2022[4][5],2021[6],2020[7][8],Peak[9][10][11][12][13][14][15],Peak[9][10][11][12][13][14][15]
Country,2025,2024[2],2023[3],2022[4][5],2021[6],2020[7][8],Production,Year
World,,92504338,93546599,85016728,80145988,77621582,97302534,2017
China,34778000,31281592,30160966,27020615,26082220,25225242,34778000,2025
United States,,10562188,10611555,10060339,9167214,8822399,"[16]13,024,978",[17]1999
Japan,,8234681,8997440,7835519,7846955,8067557,13486796,1990
India,,6014691,5851507,5456857,4399112,3490000,6014691,2024
Mexico,,4202642,4002047,3509072,3145653,3176600,4664779,2013
South Korea,,4127252,4244000,3757049,3462404,3506774,4657094,2011
Germany[18],,4069222,4109371,3677820,3308692,3742454,6213460,2007
Brazil,,2549595,2324838,2369769,2248253,2014055,3712380,2013
Spain,,2376504,2451221,2219462,2098133,2268185,3032874,2000
Thailand,,1468997,1841663,1883515,1685705,1427074,2457057,2013
Czech Republic,,1458892,1404501,1224456,1111432,1159151,1458892,2024
Turkey,,1365296,1468393,1352648,1276140,1297878,1695731,2017
France,,1357701,1505079,1383173,1351308,1316371,"[19]3,919,776",[20]1989
Canada,,1320420,1553026,1228735,1115002,1376623,3058813,1999
Indonesia,,1196664,1395717,1470146,1121967,691286,1470146,2022
Iran,,1077839,1188471,1064215,894298,880997,1649311,2011
Slovakia,1070000,993000,1080000,1000000,1000000,990598,1107902,2019
Russia[21],,982665,729864,608060,1566317,1435335,2233103,2012
United Kingdom,,905233,1025474,876614,932488,987044,2332376,1963
Malaysia,,790347,774600,702225,481651,485186,790347,2024
South Africa,,599755,633337,555889,499087,447218,633337,2023
Italy,,591067,880085,796324,795856,777165,2220774,1989
Romania,545510,560102,513050,509465,420755,438107,560102,2024
Morocco,,559645,535825,464864,403007,248430,535825,2023
Poland,,555346,612882,483840,439421,451382,"[22]950,908",2008
Argentina,,506571,610725,536893,434753,257187,828771,2011
Hungary,,437045,507225,441729,394302,406497,507225,2023
Uzbekistan[23],,429364,425876,333569,241649,280080,429364,2024
Portugal,,332546,318231,322404,289954,264236,345704,2019
Taiwan,,275156,285962,261263,265320,245615,446345,2005
Sweden,,268487,276750,238955,257446,258000,494000,1999
Belgium,,240366,332103,276554,261038,267293,1248290,1990
Vietnam,,175661,177435,232410,163250,165568,250000,2019
Kazakhstan[24],,144624,146989,112540,92417,74831,146989,2023
Pakistan,,128449,79513,235454,238702,117375,418500,2021
Philippines,,126571,110350,92223,85874,67297,213402,2007
Austria,,71785,114191,107500,136700,104544,274932,2006
Slovenia[25],,60903,60881,68130,95797,141714,212749,2009
Ireland,,–,–,–,–,–,47000,1981
Algeria,,30108,2456,2773,5208,754,70597,2018
Belarus[26],,–,–,–,29891,31273,40100,1980
Colombia,,23778,34700,51455,40764,47281,109333,2010
Egypt,,–,–,–,23754,23754,123425,2005
Finland,,22384,30191,73044,93172,86270,114785,2019
Netherlands,,7403,123379,101670,107021,127058,307220,1999
Australia,,–,7141,6077,5391,4730,498000,1974
Azerbaijan[27],4311,6815,5110,3050,3870,1949,6815,2024
Myanmar,,2711,1475,–,1957,10753,15496,2019
Ecuador,,–,–,–,–,–,41047,2000
Bulgaria,,–,–,–,–,–,21000,1990
North Korea[28],,–,–,2000,2000,2000,–,–
Ukraine[29],,–,1993,1490,8153,4952,423127,2008
Venezuela,,–,–,–,–,–,175458,2006
Serbia[30],,–,186,4498,21263,23375,??,1988
Bangladesh[31],,24,–,–,–,–,580,2017
New Zealand,,–,–,–,–,–,123000,1982
Chile,,–,–,–,–,–,10804,2007
Soviet Union,These are former countries.,These are former countries.,These are former countries.,These are former countries.,These are former countries.,These are former countries.,2247500,1985
Czechoslovakia,These are former countries.,These are former countries.,These are former countries.,These are former countries.,These are former countries.,These are former countries.,242000,1990
Yugoslavia,These are former countries.,These are former countries.,These are former countries.,These are former countries.,These are former countries.,These are former countries.,318300,1988
East Germany,These are former countries.,These are former countries.,These are former countries.,These are former countries.,These are former countries.,These are former countries.,264444,1986
